CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD158,0.059975,19.7582,6.42857,1.46429,0.24658,0.601973,0.939,0.494591,-0.162902,10.1645,
TD159,0.059978,19.5007,6.42857,1.46429,0.243366,0.601978,0.941643,0.497252,-0.157639,10.0367,
TD160,0.059991,19.2528,6.42857,1.46429,0.240273,0.601922,0.944214,0.499767,-0.152534,9.91366,
TD161,0.060051,18.7869,6.42857,1.46429,0.234458,0.602027,0.949143,0.504462,-0.142944,9.6822,
TD162,0.05994,18.565,6.42857,1.46429,0.231689,0.602093,0.9515,0.506726,-0.138565,9.57205,
TD163,0.059988,18.3511,6.42857,1.46429,0.229019,0.602098,0.953714,0.508865,-0.134161,9.46572,
TD164,0.059954,17.9428,6.42857,1.46429,0.223924,0.601994,0.958071,0.512858,-0.125975,9.26278,
TD165,0.060026,17.7505,6.42857,1.46429,0.221524,0.601972,0.960143,0.514792,-0.122195,9.16722,
TD166,0.059955,17.5622,6.42857,1.46429,0.219174,0.601951,0.962143,0.516686,-0.118354,9.07353,
TD167,0.059989,17.207,6.42857,1.46429,0.214741,0.601967,0.966,0.520227,-0.111388,8.89679,
TD168,0.059953,17.0394,6.42857,1.46429,0.212649,0.602003,0.967857,0.521882,-0.108108,8.81355,
TD169,0.060081,21.0794,6.42857,1.46429,0.178208,0.626952,0.977429,0.556857,-0.092329,10.8488,
TD170,0.059963,20.7449,6.42857,1.46429,0.17538,0.627025,0.979643,0.559212,-0.087022,10.682,
TD171,0.060013,20.4209,6.42857,1.46429,0.172641,0.626932,0.981714,0.561329,-0.081881,10.5204,
TD172,0.060081,20.1134,6.42857,1.46429,0.17004,0.627045,0.983714,0.563563,-0.077085,10.367,
TD173,0.059987,19.8149,6.42857,1.46429,0.167518,0.626994,0.985714,0.565571,-0.072431,10.2181,
TD174,0.060072,19.5314,6.42857,1.46429,0.16512,0.626985,0.987643,0.567542,-0.068092,10.0767,
